Single Image Frame,x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
D:\ASL Digits\3\Sign 3 (1).jpeg,0.5385175943374634,0.9002246260643005,-0.00022357481066137552,0.39569735527038574,0.8057956695556641,-0.10923579335212708,0.3351438641548157,0.6078061461448669,-0.12937088310718536,0.2903880774974823,0.43674975633621216,-0.14863109588623047,0.22231480479240417,0.3157660663127899,-0.1646546572446823,0.5241009593009949,0.472278892993927,-0.06245999038219452,0.5271017551422119,0.28079134225845337,-0.11335457861423492,0.5306409597396851,0.16939005255699158,-0.17256148159503937,0.5396051406860352,0.07396653294563293,-0.21387521922588348,0.6343162059783936,0.513931930065155,-0.07596713304519653,0.7168897986412048,0.32493719458580017,-0.1447051465511322,0.7692100405693054,0.20429596304893494,-0.2088359147310257,0.8162295818328857,0.10392695665359497,-0.2562645673751831,0.7066094279289246,0.6050584316253662,-0.10739538073539734,0.7839327454566956,0.5104526281356812,-0.29188409447669983,0.7044172883033752,0.6124739646911621,-0.3746657967567444,0.6346645951271057,0.692985475063324,-0.3798031210899353,0.7569664120674133,0.7104141712188721,-0.13407061994075775,0.7877258658409119,0.6753183603286743,-0.33413511514663696,0.7070805430412292,0.7544968724250793,-0.4040355384349823,0.634509801864624,0.816073477268219,-0.39716702699661255,3
D:\ASL Digits\3\Sign 3 (2).jpeg,0.46162843704223633,0.9174302220344543,-0.0002790057915262878,0.3370051383972168,0.7930147647857666,-0.11014928668737411,0.3104633092880249,0.5797673463821411,-0.13634656369686127,0.2996804118156433,0.40792715549468994,-0.17217561602592468,0.2552349269390106,0.2794038653373718,-0.1948477327823639,0.530102550983429,0.4732845425605774,-0.0631280317902565,0.5726541876792908,0.2861000895500183,-0.13641990721225739,0.5944314002990723,0.1824301779270172,-0.19184082746505737,0.6114593148231506,0.08980083465576172,-0.22471268475055695,0.6305426359176636,0.5337527990341187,-0.07690424472093582,0.7510635852813721,0.36751237511634827,-0.17132030427455902,0.8216566443443298,0.2617262005805969,-0.2420826107263565,0.8829135894775391,0.168441504240036,-0.29804494976997375,0.6839471459388733,0.6347142457962036,-0.10988952219486237,0.7795632481575012,0.558653712272644,-0.30744311213493347,0.684043824672699,0.6442449688911438,-0.3732335865497589,0.602179765701294,0.7083200216293335,-0.3671058416366577,0.7116521000862122,0.7462972402572632,-0.13909608125686646,0.7448046803474426,0.7210257649421692,-0.34537607431411743,0.6496046781539917,0.7813869714736938,-0.4095425605773926,0.5660963654518127,0.8264779448509216,-0.40499308705329895,3
D:\ASL Digits\3\Sign 3 (3).jpeg,0.415941059589386,0.8773899078369141,-0.00018314535554964095,0.3067140281200409,0.75228351354599,-0.12768492102622986,0.31975769996643066,0.5449994206428528,-0.16353864967823029,0.3259733021259308,0.3756909966468811,-0.19665664434432983,0.29452750086784363,0.2488802671432495,-0.21680814027786255,0.5268571376800537,0.4898681640625,-0.076179139316082,0.5983273386955261,0.3118317723274231,-0.1508427858352661,0.6387655138969421,0.2076253592967987,-0.20696280896663666,0.6757633686065674,0.12344986200332642,-0.24125908315181732,0.6166430115699768,0.5622579455375671,-0.09215175360441208,0.7611419558525085,0.41884317994117737,-0.20273345708847046,0.8470618724822998,0.3231402635574341,-0.29361945390701294,0.9224798679351807,0.24745550751686096,-0.35117632150650024,0.6594408750534058,0.665887176990509,-0.12803493440151215,0.7581055164337158,0.6054361462593079,-0.3540920615196228,0.6480837464332581,0.6747540831565857,-0.4363331198692322,0.554497480392456,0.7357008457183838,-0.4342823922634125,0.6753569841384888,0.7773634195327759,-0.15993528068065643,0.702781081199646,0.7526677846908569,-0.3753756880760193,0.5939846038818359,0.8006889224052429,-0.4427822530269623,0.5007538795471191,0.8445136547088623,-0.43133217096328735,3
D:\ASL Digits\3\Sign 3 (4).jpeg,0.34512367844581604,0.8538345098495483,-0.00021667915279977024,0.25168895721435547,0.7175889611244202,-0.12912854552268982,0.2961142957210541,0.5168359279632568,-0.16209574043750763,0.3444577157497406,0.35060885548591614,-0.19350965321063995,0.3479662537574768,0.21911442279815674,-0.21147854626178741,0.5319390892982483,0.49287301301956177,-0.07913912087678909,0.6374809741973877,0.3312804102897644,-0.162803053855896,0.6955933570861816,0.24015164375305176,-0.22868065536022186,0.7463220357894897,0.16195571422576904,-0.2666059732437134,0.6087808609008789,0.5803928375244141,-0.09414374083280563,0.7743443846702576,0.46304768323898315,-0.19050441682338715,0.8782542943954468,0.3894704580307007,-0.269035279750824,0.972025454044342,0.32857903838157654,-0.3241370916366577,0.6307851672172546,0.691164493560791,-0.12799568474292755,0.7357655167579651,0.656859278678894,-0.34003591537475586,0.6156281232833862,0.7111693620681763,-0.41618385910987854,0.5124420523643494,0.7492591142654419,-0.40998604893684387,0.6218713521957397,0.801741898059845,-0.16368523240089417,0.6559044122695923,0.7980139851570129,-0.3768463730812073,0.5430623292922974,0.8247129917144775,-0.43471410870552063,0.4487237334251404,0.838553786277771,-0.41388800740242004,3
D:\ASL Digits\3\Sign 3 (5).jpeg,0.8576452732086182,0.6714954376220703,-0.00024396978551521897,0.7079985737800598,0.7495237588882446,-0.11606823652982712,0.5004318952560425,0.7013777494430542,-0.13999012112617493,0.33328908681869507,0.6528804898262024,-0.1658913642168045,0.19724053144454956,0.6510267853736877,-0.18566787242889404,0.4867793917655945,0.4659547209739685,-0.07107218354940414,0.33294063806533813,0.36358606815338135,-0.14530730247497559,0.24132928252220154,0.30213654041290283,-0.20875681936740875,0.16304504871368408,0.24814601242542267,-0.24720600247383118,0.576160192489624,0.3903852105140686,-0.08578663319349289,0.4603659212589264,0.2225787341594696,-0.17227520048618317,0.3833922743797302,0.11254921555519104,-0.24859610199928284,0.319819837808609,0.015373140573501587,-0.3030627369880676,0.6894773244857788,0.3718526065349579,-0.12023201584815979,0.6484709978103638,0.2628958523273468,-0.3296983242034912,0.6951086521148682,0.381916344165802,-0.4148854911327362,0.7297457456588745,0.486084908246994,-0.413900226354599,0.8038280010223389,0.3808215260505676,-0.15022192895412445,0.7894694209098816,0.3447597622871399,-0.36395540833473206,0.8129074573516846,0.45520856976509094,-0.43064162135124207,0.8274022340774536,0.5498770475387573,-0.4178691804409027,3
D:\ASL Digits\3\Sign 3 (6).jpeg,0.5922169089317322,0.8900365829467773,-0.00019253435311838984,0.4382426142692566,0.8189424276351929,-0.0990440845489502,0.34560060501098633,0.6300157308578491,-0.12253285199403763,0.27826228737831116,0.4688999652862549,-0.14736895263195038,0.19404110312461853,0.3603963851928711,-0.16805750131607056,0.5154651403427124,0.4673600196838379,-0.07183489948511124,0.49372968077659607,0.28239092230796814,-0.13441337645053864,0.4824090600013733,0.17263084650039673,-0.19714200496673584,0.4723658561706543,0.07573381066322327,-0.24130776524543762,0.6306884288787842,0.48706623911857605,-0.09309609234333038,0.6812089085578918,0.2868947982788086,-0.17490123212337494,0.7127913236618042,0.15856611728668213,-0.24624955654144287,0.7440075278282166,0.051979392766952515,-0.2962394654750824,0.7174088954925537,0.5649665594100952,-0.132448211312294,0.7687827348709106,0.4523025155067444,-0.32717061042785645,0.712955892086029,0.5662851333618164,-0.41048091650009155,0.6620116829872131,0.6616982221603394,-0.4135451316833496,0.7850513458251953,0.662876546382904,-0.16411079466342926,0.7913312911987305,0.6138927340507507,-0.37180179357528687,0.722066342830658,0.7060244083404541,-0.4370783865451813,0.6601539850234985,0.782345712184906,-0.42898795008659363,3
D:\ASL Digits\3\Sign 3 (7).jpeg,0.5922169089317322,0.8900365829467773,-0.00019253435311838984,0.4382426142692566,0.8189424276351929,-0.0990440845489502,0.34560060501098633,0.6300157308578491,-0.12253285199403763,0.27826228737831116,0.4688999652862549,-0.14736895263195038,0.19404110312461853,0.3603963851928711,-0.16805750131607056,0.5154651403427124,0.4673600196838379,-0.07183489948511124,0.49372968077659607,0.28239092230796814,-0.13441337645053864,0.4824090600013733,0.17263084650039673,-0.19714200496673584,0.4723658561706543,0.07573381066322327,-0.24130776524543762,0.6306884288787842,0.48706623911857605,-0.09309609234333038,0.6812089085578918,0.2868947982788086,-0.17490123212337494,0.7127913236618042,0.15856611728668213,-0.24624955654144287,0.7440075278282166,0.051979392766952515,-0.2962394654750824,0.7174088954925537,0.5649665594100952,-0.132448211312294,0.7687827348709106,0.4523025155067444,-0.32717061042785645,0.712955892086029,0.5662851333618164,-0.41048091650009155,0.6620116829872131,0.6616982221603394,-0.4135451316833496,0.7850513458251953,0.662876546382904,-0.16411079466342926,0.7913312911987305,0.6138927340507507,-0.37180179357528687,0.722066342830658,0.7060244083404541,-0.4370783865451813,0.6601539850234985,0.782345712184906,-0.42898795008659363,3
D:\ASL Digits\3\Sign 3 (8).jpeg,0.5229756236076355,0.9196820855140686,-0.00022800105216447264,0.3797306418418884,0.813207745552063,-0.09809946268796921,0.3225833475589752,0.6155329942703247,-0.1189751997590065,0.2924189865589142,0.4469388723373413,-0.145819753408432,0.2313644289970398,0.32173770666122437,-0.16034282743930817,0.5241889953613281,0.47170519828796387,-0.060897473245859146,0.5371745824813843,0.2855326235294342,-0.13194157183170319,0.544895589351654,0.17572584748268127,-0.19076913595199585,0.5511667728424072,0.07847261428833008,-0.22339747846126556,0.6324738264083862,0.5154426097869873,-0.07240065187215805,0.7141671180725098,0.3300177752971649,-0.17535926401615143,0.7691797614097595,0.2087193727493286,-0.2607569396495819,0.8163574934005737,0.10435763001441956,-0.3230767548084259,0.6999952793121338,0.6036716103553772,-0.0977725014090538,0.7744162082672119,0.5152137279510498,-0.29399573802948,0.6968876123428345,0.6230133175849915,-0.35508522391319275,0.6272038221359253,0.7013841867446899,-0.34094682335853577,0.7459129691123962,0.7059355974197388,-0.12159501761198044,0.7677853107452393,0.6703371405601501,-0.33516985177993774,0.6910777688026428,0.7473368048667908,-0.3908136785030365,0.6272031664848328,0.8020881414413452,-0.37556639313697815,3
D:\ASL Digits\3\Sign 3 (9).jpeg,0.4509531259536743,0.9227399230003357,-0.0003006287442985922,0.3319774866104126,0.7889125347137451,-0.08768706768751144,0.31197959184646606,0.5913973450660706,-0.09840819239616394,0.31227603554725647,0.4282534122467041,-0.11801636219024658,0.26329073309898376,0.29177871346473694,-0.12118068337440491,0.5310852527618408,0.4795111417770386,-0.04031819850206375,0.5729448795318604,0.3010636270046234,-0.10483646392822266,0.5968330502510071,0.19449692964553833,-0.160553976893425,0.6156998872756958,0.09730765223503113,-0.1876692920923233,0.6314687728881836,0.5429307818412781,-0.05144978687167168,0.746972918510437,0.36997032165527344,-0.1537376195192337,0.8237513899803162,0.2602958381175995,-0.23891013860702515,0.8878873586654663,0.16504892706871033,-0.30569642782211304,0.6819908022880554,0.6410994529724121,-0.07706008106470108,0.766842246055603,0.5698161721229553,-0.2700953185558319,0.6712961792945862,0.6660329103469849,-0.33341386914253235,0.5917865037918091,0.736718475818634,-0.3194749057292938,0.7101995944976807,0.7488248944282532,-0.09769369661808014,0.738681435585022,0.7254959344863892,-0.309952974319458,0.6453118324279785,0.7863756418228149,-0.3614325225353241,0.5724524855613708,0.8279560804367065,-0.34126871824264526,3
D:\ASL Digits\3\Sign 3 (10).jpeg,0.4057105779647827,0.8679701089859009,-0.00014254366396926343,0.29238829016685486,0.753476083278656,-0.12457537651062012,0.3081399202346802,0.5514441132545471,-0.16571426391601562,0.3202601969242096,0.38427382707595825,-0.2049475908279419,0.2913166582584381,0.25809168815612793,-0.23381070792675018,0.5310275554656982,0.4857698082923889,-0.08401292562484741,0.6010541319847107,0.31464043259620667,-0.15975283086299896,0.6444791555404663,0.2125771939754486,-0.22645993530750275,0.6849666833877563,0.12479633092880249,-0.277042031288147,0.6193353533744812,0.558457612991333,-0.10064797848463058,0.7616329193115234,0.41468608379364014,-0.21425029635429382,0.8479757308959961,0.31839755177497864,-0.314118355512619,0.9244463443756104,0.24353232979774475,-0.38005518913269043,0.6602802872657776,0.6650521755218506,-0.13336841762065887,0.7502399682998657,0.609714150428772,-0.36280006170272827,0.6356587409973145,0.6867091655731201,-0.44430553913116455,0.5411680340766907,0.7485394477844238,-0.43803051114082336,0.6712707281112671,0.7774083614349365,-0.1642676740884781,0.6903411746025085,0.7556416988372803,-0.40060028433799744,0.5778604745864868,0.8027470707893372,-0.46621206402778625,0.48796573281288147,0.841719925403595,-0.4455965459346771,3
