x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
0.652947485,0.851761699,3.63E-09,0.722604394,0.774002135,-0.009751913,0.766258776,0.659400284,-0.032745209,0.761489391,0.56655699,-0.066764146,0.709071875,0.526576817,-0.095656864,0.693220377,0.51550585,0.018426852,0.727103055,0.411573708,-0.010695524,0.737056971,0.345063567,-0.031961955,0.737632275,0.286866039,-0.051312655,0.636347651,0.512149036,-0.015961973,0.646916986,0.379530609,-0.05900545,0.651686728,0.302105755,-0.089077555,0.650457978,0.234832317,-0.109717429,0.586842358,0.547528744,-0.056774735,0.652199745,0.492857605,-0.101694763,0.692358255,0.580884814,-0.103208616,0.702815294,0.637236059,-0.095857039,0.554254413,0.608838081,-0.103670061,0.632031262,0.576822996,-0.134117454,0.670713603,0.640186965,-0.131390408,0.680729866,0.690119505,-0.123649918,5
0.654692173,0.853059113,3.51E-09,0.7259745,0.776824713,-0.01241173,0.770470917,0.666042924,-0.03919458,0.769686818,0.574343383,-0.076609515,0.719207823,0.532634377,-0.109782889,0.70087111,0.522437811,0.004812619,0.734057307,0.4176054,-0.030119119,0.742872477,0.348780692,-0.056596603,0.741868258,0.287294447,-0.079590626,0.645302832,0.520242393,-0.029652864,0.654649615,0.38659206,-0.079180516,0.658125818,0.306440622,-0.113658674,0.655703127,0.238990426,-0.137634203,0.59599936,0.555854976,-0.069649942,0.656623185,0.491908282,-0.119296253,0.698174357,0.576570153,-0.121724047,0.710905015,0.635957658,-0.11545869,0.563106298,0.616906941,-0.115666121,0.636745334,0.578287184,-0.150103405,0.67841506,0.637289405,-0.14810288,0.691457033,0.687592447,-0.141139358,5
0.655039072,0.850031734,2.78E-09,0.726344943,0.777246118,-0.013060218,0.772768915,0.666126907,-0.040124118,0.772233605,0.57510215,-0.077897906,0.723374963,0.529536188,-0.111376785,0.701694369,0.524386466,0.00721778,0.731614172,0.417066634,-0.026236398,0.74082303,0.34888494,-0.051301036,0.740902126,0.288815826,-0.073385797,0.647110879,0.522698939,-0.026219141,0.651816308,0.385859519,-0.073850974,0.653969646,0.303027034,-0.107960403,0.650969982,0.235446364,-0.13183777,0.598054409,0.555611014,-0.065412261,0.664281845,0.497931302,-0.113186866,0.701381743,0.585980535,-0.115700662,0.708461881,0.64558357,-0.109693699,0.563658178,0.612923086,-0.110876761,0.640767038,0.576133192,-0.144677341,0.677655995,0.642351806,-0.142831996,0.684685707,0.697938204,-0.135962442,5
0.658500612,0.853212237,3.46E-09,0.731979847,0.778558135,-0.013377194,0.778494596,0.6646474,-0.038945276,0.777197361,0.573324859,-0.074677601,0.72685653,0.527526975,-0.106204078,0.711636066,0.53663218,0.007699099,0.742678225,0.425062031,-0.024767498,0.751274407,0.355279565,-0.050378259,0.750337601,0.292340487,-0.073037505,0.657797754,0.536126733,-0.024440782,0.664836049,0.396596849,-0.070754021,0.667658269,0.309941918,-0.10671261,0.665142953,0.241107851,-0.132548377,0.609009743,0.567591667,-0.062158443,0.669739366,0.500429749,-0.110317394,0.706453741,0.584237099,-0.116114706,0.715974331,0.64559269,-0.11238391,0.574584424,0.620895386,-0.105767854,0.646123409,0.576362967,-0.141118348,0.687252462,0.635615051,-0.141356036,0.700541377,0.689604223,-0.136196941,5
0.664445758,0.844883919,2.90E-09,0.736863136,0.77503413,-0.009603634,0.783244133,0.667098105,-0.03358243,0.784096897,0.578876078,-0.068626307,0.736956835,0.532735765,-0.099447206,0.714398861,0.534941196,0.016592298,0.74320209,0.420855999,-0.012316617,0.75359565,0.352395475,-0.033920798,0.755102575,0.290367305,-0.053671144,0.66352886,0.534250319,-0.016270123,0.666754603,0.391015768,-0.058497664,0.670966983,0.306122333,-0.090417944,0.669247568,0.238130927,-0.11255224,0.617132962,0.563907444,-0.054886047,0.681110203,0.4972139,-0.100260533,0.716228187,0.585699379,-0.10442923,0.721351385,0.64203161,-0.098798476,0.584748268,0.615124643,-0.099158667,0.656201839,0.571985722,-0.132312551,0.68733108,0.640705526,-0.131290436,0.689315021,0.696192682,-0.124560192,5
0.661450744,0.846440792,5.54E-09,0.736262143,0.772626877,-0.008825893,0.781762719,0.653450131,-0.025683742,0.77486968,0.559130311,-0.05239097,0.723037004,0.524387836,-0.074631698,0.714928091,0.539167285,0.02123601,0.74423945,0.420353293,-0.003025208,0.751872838,0.352143049,-0.020384993,0.750694454,0.291997164,-0.037060976,0.66154635,0.5382092,-0.00903473,0.663339794,0.393518329,-0.045578636,0.664873362,0.306574166,-0.074408337,0.661486924,0.236906677,-0.095328562,0.613751173,0.565871894,-0.045451246,0.668443978,0.493143857,-0.090188734,0.702848911,0.578125298,-0.09713307,0.71005398,0.640219331,-0.092464969,0.579330981,0.611634731,-0.087037124,0.648207784,0.571240187,-0.120173857,0.683434188,0.634531915,-0.121702015,0.691126049,0.690591574,-0.116676405,5
0.662712336,0.843755364,3.95E-09,0.735781133,0.770170808,-0.008542252,0.780719757,0.654040873,-0.025925033,0.774674416,0.561816454,-0.05348061,0.724411428,0.526143134,-0.07673198,0.714993536,0.537133753,0.020852778,0.743118465,0.419606507,-0.004338612,0.750197947,0.351705849,-0.023319809,0.74861449,0.292120606,-0.041213498,0.662906289,0.536286294,-0.009664739,0.664398193,0.392160654,-0.047442332,0.665895522,0.304473668,-0.078248851,0.662331462,0.235060602,-0.100662142,0.615672648,0.564022005,-0.046117943,0.670865595,0.494316906,-0.090762973,0.706695318,0.578041792,-0.098311171,0.715668857,0.640076756,-0.094525225,0.581317604,0.611076176,-0.087847389,0.648704231,0.570137262,-0.121047057,0.685181975,0.632707238,-0.122767285,0.694785595,0.6901775,-0.118056908,5
0.663245618,0.842415988,4.40E-09,0.736003458,0.76960206,-0.0079266,0.780258417,0.65417558,-0.024936181,0.774080217,0.56227082,-0.052241325,0.724322915,0.52554512,-0.075098589,0.714276731,0.537183642,0.023401162,0.742811739,0.420012414,-0.000257478,0.750757277,0.352056503,-0.017515788,0.749609053,0.292857319,-0.034295131,0.66232264,0.535444915,-0.007418253,0.664479434,0.390705675,-0.043880325,0.66655606,0.303280085,-0.073028788,0.663301945,0.234831929,-0.094074175,0.615167618,0.562733591,-0.044358633,0.672100246,0.495054513,-0.087991811,0.706521869,0.58027643,-0.094873801,0.71319133,0.640660822,-0.09048342,0.581309497,0.609628499,-0.086544231,0.649606705,0.571088433,-0.119135849,0.684736371,0.634832263,-0.120847598,0.692232549,0.689957917,-0.11601802,5
0.647272944,0.836729288,3.81E-09,0.721624911,0.751399517,-0.009947219,0.760859668,0.645079732,-0.030250575,0.762010992,0.552035809,-0.06064301,0.713273883,0.520231664,-0.087351605,0.689852178,0.508165896,0.013013037,0.724630654,0.407426536,-0.0165393,0.736750364,0.342271805,-0.04382512,0.738126159,0.287109852,-0.06872616,0.63240999,0.507488906,-0.020078627,0.634828866,0.383772433,-0.063013591,0.638035297,0.301862925,-0.102769718,0.635861576,0.23295787,-0.133475482,0.582223296,0.544202685,-0.05874747,0.617937803,0.469772875,-0.106022075,0.669703901,0.538206339,-0.121507324,0.696372271,0.603281736,-0.125797346,0.548615098,0.607899845,-0.102134928,0.602968276,0.562409282,-0.137369528,0.657241583,0.606681228,-0.144393802,0.687201977,0.65969938,-0.145608798,5
0.643189251,0.833480597,3.64E-09,0.716181993,0.753583491,-0.011051719,0.758907676,0.644057393,-0.03493936,0.756390691,0.555903494,-0.068918839,0.705214381,0.51589936,-0.099392913,0.690022647,0.508869052,0.003435011,0.728022635,0.408455461,-0.029962111,0.740053475,0.34229055,-0.058039751,0.74122107,0.284648299,-0.082755506,0.632567823,0.505661011,-0.029889219,0.640871406,0.383538038,-0.075490102,0.645602047,0.30367142,-0.112143084,0.64354682,0.237598121,-0.140375584,0.582510889,0.540053368,-0.068394065,0.63114351,0.480075419,-0.114308998,0.673065484,0.553455353,-0.12229798,0.6889534,0.614776194,-0.122620836,0.548890233,0.60013783,-0.112413198,0.615987539,0.565616071,-0.146656781,0.66568327,0.61374408,-0.149522945,0.68927139,0.662227392,-0.147693411,5
